1	0
0.971778	0.0264122
0.913121	0.0413946
0.826374	0.0577963
0.55045	0.0903118
0.0999572	0.0385977
0	0
0	0
0	0
0.728284	0.0649687
0.533009	0.0748415
0.38206	0.0743328
0.255465	0.0686662
0.183835	0.0591914
0.108558	0.0509069
0	0
0	0
0.138199	0.0491878
0.117187	0.0447661
0.0871686	0.0394741
0	0
0	0
0.0368141	0.0246274
0	0
0	0
0.0936447	0.0453919
0	0
0	0
0	0
0.20907	0.0669041
0.150893	0.0567769
0	0
0.0859282	0.0408923
0	0
0	0
0	0
0.201279	0.0634978
0	0
0	0
0.52224	0.0914978
0.418436	0.0935948
0	0
0	0
0	0
0.754783	0.0622093
0.675084	0.0748632
0.534185	0.0860911
0	0
0	0
0	0
0.54669	0.0757869
0.411144	0.0779342
0	0
0.289807	0.0762065
0	0
0	0
0	0
0	0
0.662539	0.109124
0	0
0	0
