1	0
0.968706	0.0283944
0.910994	0.041384
0.831293	0.0533258
0.590266	0.0804265
0.116206	0.0400573
0	0
0	0
0	0
0.739596	0.0613301
0.544906	0.0732822
0.394091	0.073238
0.257215	0.0691099
0.181482	0.0597291
0.105759	0.0499413
0	0
0	0
0.133448	0.0491503
0.113007	0.0443678
0.0800185	0.0388794
0	0
0	0
0.036743	0.0251075
0	0
0	0
0.0908384	0.0445613
0	0
0	0
0	0
0.226259	0.0675861
0.168487	0.0582231
0	0
0.10458	0.0436422
0	0
0	0
0	0
0.206753	0.0644744
0	0
0	0
0.540537	0.0849539
0.433257	0.0887144
0	0
0	0
0	0
0.750846	0.0624189
0.670663	0.0773402
0.533915	0.0874262
0	0
0	0
0	0
0.540792	0.0752339
0.413277	0.076327
0	0
0.285474	0.0753718
0	0
0	0
0	0
0	0
0.674038	0.104736
0	0
0	0
