1	0
0.967988	0.0304924
0.888362	0.0517677
0.801303	0.0609754
0.540463	0.0765818
0.103509	0.0315612
0	0
0	0
0	0
0.689102	0.0650733
0.474661	0.0688906
0.311502	0.0646429
0.186044	0.0545395
0.123206	0.0434041
0.0705505	0.03434
0	0
0	0
0.088353	0.0342446
0.074298	0.0304852
0.0525891	0.0260506
0	0
0	0
0.023955	0.0162408
0	0
0	0
0.058582	0.0299584
0	0
0	0
0	0
0.170157	0.0502462
0.126909	0.0422757
0	0
0.0795959	0.0315883
0	0
0	0
0	0
0.165938	0.0471125
0	0
0	0
0.487596	0.0790118
0.373289	0.0765039
0	0
0	0
0	0
0.729893	0.0666956
0.641328	0.0778478
0.511891	0.0824322
0	0
0	0
0	0
0.488002	0.0752837
0.338976	0.0683959
0	0
0.243568	0.0652424
0	0
0	0
0	0
0	0
0	0
