,,GFP,Mouse,Human,Ferret,Macaca,Galago,Dolphin
N6,number GFP + cells,192,146,127,173,178,185,114
N6,number of GFP+ ki67+ cells,51,56,42,59,73,59,52
N7,number GFP + cells,219,140,163,189,216,191,192
N7,number of GFP+ ki67+ cells,69,53,42,47,72,58,77
